5;100;1645142400;3;988,1
8;200;1589760000;0;47851
1;100;1598745600;2;5351
9;300;1606953600;0;81231
1;200;1636329600;2;69735
5;200;1635897600;1;24095
6;200;1647820800;0;51195
0;200;1594339200;2;70582
1;300;1579910400;1;81386
7;200;1583020800;3;49137
8;100;1612483200;2;3625
7;100;1597881600;2;78252
10;300;1641340800;0;43839
6;100;1648252800;1;70548
6;300;1641427200;3;52181
3;100;1646265600;1;416
9;200;1618790400;2;50721
1;300;1582502400;0;36696
10;200;1634342400;2;6020
4;100;1632787200;2;36899
8;300;1590537600;0;65989
10;200;1609804800;2;95486
10;100;1646956800;3;23521
3;300;1625356800;3;93131
7;100;1584835200;3;34326
3;300;1653004800;2;52987
4;100;1624665600;1;78302
8;300;1579910400;2;65954
7;300;1580256000;2;19018
1;300;1627862400;3;42158
