5;100;1645142400;3;988,1
8;200;1589760000;0;478.51
1;100;1598745600;2;535.1
9;300;1606953600;0;812.31
1;200;1636329600;2;697.35
5;200;1635897600;1;240.95
6;200;1647820800;0;511.95
0;200;1594339200;2;705.82
1;300;1579910400;1;813.86
7;200;1583020800;3;491.37
8;100;1612483200;2;36.25
7;100;1597881600;2;782.52
10;300;1641340800;0;438.39
6;100;1648252800;1;705.48
6;300;1641427200;3;521.81
3;100;1646265600;1;4.16
9;200;1618790400;2;507.21
1;300;1582502400;0;366.96
10;200;1634342400;2;602.0
4;100;1632787200;2;368.99
8;300;1590537600;0;659.89
10;200;1609804800;2;954.86
10;100;1646956800;3;235.21
3;300;1625356800;3;931.31
7;100;1584835200;3;343.26
3;300;1653004800;2;529.87
4;100;1624665600;1;783.02
8;300;1579910400;2;659.54
7;300;1580256000;2;190.18
1;300;1627862400;3;421.58
