numeroConta;codigoAgencia;dataTransacao;codigoTransacao;valor
0;200;1613520000;2;266.37
8;300;1622592000;3;960.29
10;200;1612396800;2;135.73
10;200;1640304000;3;854.81
7;300;1603584000;3;772.55
8;200;1661126400;1;625.71
7;300;1633737600;0;46.25
3;200;1652572800;2;837.11
0;300;1632268800;2;393.95
0;200;1610409600;1;625.37
7;200;1650585600;1;301.98
2;300;1614643200;1;204.58
3;200;1585440000;0;706.14
1;100;1651881600;1;926.45
2;200;1646092800;3;915.59
0;100;1611792000;0;722.79
10;100;1627430400;1;621.59
2;200;1623196800;2;438.19
8;200;1649462400;0;591.74
9;200;1591574400;3;143.28
9;200;1646265600;1;221.44
7;200;1616976000;1;186.99
9;100;1625788800;1;418.15
5;200;1597190400;2;82.05
10;200;1589760000;3;410.54
6;300;1662768000;1;784.27
5;100;1652659200;0;281.26
0;100;1606348800;1;459.28
8;200;1648598400;2;741.98
9;200;1643500800;1;968.3
0;100;1634515200;1;975.21
5;300;1618099200;0;409.5
6;100;1633132800;1;373.33
3;200;1600300800;2;321.7
6;200;1636761600;2;568.7
0;200;1594166400;0;590.48
3;100;1636329600;1;277.49
3;100;1656374400;0;178.32
3;100;1584921600;2;992.77
8;300;1620000000;3;376.92
5;100;1579478400;1;344.56
3;300;1647993600;2;573.03
3;100;1629936000;2;644.16
10;300;1604880000;2;177.51
0;300;1616198400;2;867.93
2;100;1592870400;3;968.41
10;200;1662076800;3;999.95
0;100;1588118400;3;703.82
5;100;1604448000;3;295.05
2;300;1640563200;2;786.44
8;300;1604448000;1;820.53
7;200;1592956800;2;374.82
1;300;1628380800;2;565.62
6;200;1612137600;3;291.45
0;200;1615939200;0;664.91
8;200;1645401600;2;670.09
9;100;1664064000;2;157.73
10;100;1578614400;1;89.08
1;300;1606694400;1;589.54
10;300;1580601600;2;640.05
3;200;1658188800;1;859.23
2;300;1660521600;2;166.53
4;300;1622678400;2;391.01
2;300;1660867200;3;11.63
1;300;1631318400;1;704.52
