numeroConta;codigoAgencia;dataTransacao;codigoTransacao;valor
2;100;1656460800;0;100.8
9;200;1648252800;2;540.47
5;100;1587686400;3;84.08
0;200;1584576000;2;280.27
10;200;1608076800;1;382.21
2;300;1635292800;2;308.12
10;200;1625184000;1;395.98
5;100;1626566400;1;477.25
0;200;1624924800;3;119.81
6;300;1630886400;2;534.95
9;100;1579910400;2;479.9
2;100;1609286400;1;635.02
1;200;1626048000;3;148.92
5;200;1646870400;0;426.31
7;300;1631923200;0;695.01
2;100;1636934400;1;68.42
6;100;1633046400;2;830.63
4;300;1607990400;3;969.07
9;200;1623888000;3;527.95
1;300;1610668800;0;744.74
0;300;1631318400;3;801.99
9;300;1608422400;1;556.35
8;200;1663977600;3;586.94
3;300;1582502400;3;82.88
8;300;1602892800;2;709.38
5;300;1661990400;2;119.8
7;200;1592611200;1;500.9
5;300;1591920000;2;466.37
2;100;1629331200;2;852.74
9;300;1585699200;3;223.08
0;300;1623283200;1;518.86
10;200;1621382400;1;676.07
10;300;1599436800;1;745.64
9;300;1593561600;2;715.73
3;300;1606262400;0;874.54
4;200;1583280000;2;798.38
4;100;1585267200;1;929.67
1;300;1638489600;3;465.21
5;300;1646870400;2;848.08
2;200;1625616000;0;635.15
3;200;1597276800;2;521.78
3;300;1595894400;2;448.83
6;100;1581120000;2;355.71
3;200;1588723200;0;64.95
2;200;1638576000;1;250.15
8;200;1619740800;1;144.06
1;100;1635811200;1;690.17
0;100;1597968000;2;110.73
3;100;1626220800;3;968.5
6;300;1655164800;2;271.24
9;300;1644364800;2;632.01
9;100;1658102400;3;85.62
5;100;1619395200;0;185.71
0;300;1629676800;1;959.5
1;200;1605052800;2;960.39
5;300;1646784000;1;413.47
8;100;1662422400;1;650.3
8;300;1592265600;3;893.45
8;100;1617494400;1;698.51
2;100;1586390400;3;53.71
1;100;1581206400;2;806.6
3;200;1645142400;1;191.94
4;300;1590796800;0;998.75
0;100;1618531200;0;932.33
3;200;1580860800;2;565.37
10;300;1655164800;0;954.02
3;100;1603152000;3;700.43
4;100;1647993600;1;140.35
3;100;1593216000;0;76.34
3;100;1644451200;0;683.72
7;300;1639872000;0;400.55
0;300;1610496000;3;994.56
3;100;1642464000;1;441.95
9;200;1619740800;1;592.84
4;200;1604448000;2;673.36
2;200;1593993600;0;765.0
5;100;1627516800;2;103.36
9;300;1609545600;3;477.76
2;200;1633910400;0;382.12
0;300;1639872000;2;439.77
2;200;1582329600;0;631.09
5;200;1632182400;2;398.26
2;300;1618963200;0;882.06
6;100;1588723200;2;213.01
4;300;1613520000;2;814.82
3;300;1592611200;1;531.08
7;300;1657411200;3;592.7
3;200;1598054400;2;95.09
1;200;1623456000;3;119.22
7;100;1626739200;3;46.63
4;300;1650153600;0;745.31
6;300;1626307200;0;442.87
0;200;1635465600;0;982.06
6;200;1616544000;2;136.82
8;200;1639180800;1;144.54
9;100;1629504000;2;44.94
7;100;1659052800;2;279.84
3;100;1583539200;0;385.86
3;200;1639267200;2;748.99
7;300;1642377600;1;984.48
10;300;1654387200;0;225.46
5;200;1644710400;2;942.14
5;200;1653177600;3;754.29
6;100;1595635200;0;235.3
9;200;1600041600;3;398.76
1;200;1643673600;0;524.1
10;200;1623628800;2;801.81
